[enrich] 995 cases to enrich (skipping 5 already up-to-date)
[1/995] BookMyShow Booking Decline Investigation           ✓ enriched in 150.7s → data/dossiers/3916821b-4473-4826-85ac-cb95878b97c1.json
[2/995] Airline Food                                       ✓ enriched in 112.2s → data/dossiers/66cfeb5e-5606-4916-88c7-629541bbe269.json
[3/995] Sugar Cereal                                       ✓ enriched in 42.1s → data/dossiers/dc38c674-5db6-4be2-809f-dbf2210d5b41.json
[4/995] KPMG International Case Competition                ✓ enriched in 119.2s → data/dossiers/7d39c083-c8da-4270-97ae-a8a1866832cb.json
[5/995] Chem Co.                                           ✓ enriched in 284.7s → data/dossiers/5edd4111-01b5-4ff5-95ef-ee4cbe412407.json
[6/995] Mattel                                             ✓ enriched in 128.5s → data/dossiers/f8709fb8-c253-43c2-910b-dcfe5324f5ef.json
[7/995] Mattel (3)                                         ✓ enriched in 66.0s → data/dossiers/a962f5cd-996d-46ab-b4a0-1e1f353ad551.json
[8/995] Old Delhi Restaurant                               ✓ enriched in 40.8s → data/dossiers/9c2abf58-209e-479d-80fc-ad8cf50ec502.json
[9/995] Sheep Auction (VI of VI)                           ✗ cerebras 404: {"message":"Model llama3.1-70b does not exist or you do not have access to it.","type":"not_found_error","param":"model","code":"model_not_found"}
[10/995] Case 11: A PE and a Soda                           ✓ enriched in 50.2s → data/dossiers/595c52fd-cf04-431a-8832-fea4cb1efabc.json
[11/995] Regional Jet Market                                ✗ cerebras 404: {"message":"Model llama3.1-70b does not exist or you do not have access to it.","type":"not_found_error","param":"model","code":"model_not_found"}
[12/995] BankCo Online Banking                              ✓ enriched in 41.1s → data/dossiers/2535d96e-03e7-40a1-a37b-2456338bcd09.json
[13/995] Sunshine Power                                     ✗ fetch failed
[14/995] Smart Card Manufacturer (III of III)               ✗ fetch failed
[15/995] Sports Bar                                         ✗ fetch failed
[16/995] Bombardier CS300                                   ✗ fetch failed
[17/995] Polyethylene Resin                                 ✗ fetch failed
[18/995] Sweet Job Selling Candy                            ✗ fetch failed
[19/995] Chic Cosmetology University                        ✗ fetch failed
[20/995] Grad-U-Date                                        ✗ fetch failed
[21/995] Mumbai Hospital Chain                              ✗ fetch failed
[22/995] Consolidated Financial Statements Analysis         ✗ fetch failed
[23/995] A Sticky Paper Situation                           ✗ fetch failed
[24/995] Beijing International Airport M&A Strategy         ✗ fetch failed
[25/995] Automobile Parts Manufacturer (II of II)           ✗ fetch failed
